species	total_length	completeness	draft_quality
Candidatus Shapirobacteria bacterium RIFOXYC1_FULL_38_24	703602	55.88	medium
Candidatus Schekmanbacteria bacterium RIFCSPHIGHO2_02_FULL_38_11	2625290	89.92	medium
Candidatus Uhrbacteria bacterium RIFCSPHIGHO2_02_FULL_46_47	1022808	64.36	medium
Candidatus Uhrbacteria bacterium RIFCSPHIGHO2_02_FULL_47_44	962199	69.31	medium
Candidatus Schekmanbacteria bacterium RIFCSPLOWO2_02_FULL_38_14	2681228	94.02	high
Candidatus Schekmanbacteria bacterium RIFCSPLOWO2_12_FULL_38_15	2746771	94.02	medium
Candidatus Shapirobacteria bacterium RIFOXYD1_FULL_38_32	734298	70.53	medium
Candidatus Uhrbacteria bacterium RIFCSPHIGHO2_01_FULL_46_23	1141316	71.29	medium
Candidatus Uhrbacteria bacterium RIFCSPHIGHO2_01_FULL_47_10	1007796	78.14	medium
Candidatus Uhrbacteria bacterium RIFCSPHIGHO2_01_FULL_47_11	1011606	59.41	medium
Candidatus Uhrbacteria bacterium RIFCSPHIGHO2_02_FULL_53_13	927625	62.62	medium
Candidatus Uhrbacteria bacterium RIFCSPHIGHO2_02_FULL_54_11	749779	52.82	medium
Candidatus Uhrbacteria bacterium RIFCSPHIGHO2_02_FULL_57_19	958782	59.6	medium
Candidatus Uhrbacteria bacterium RIFCSPHIGHO2_02_FULL_60_10	886499	41.54	low
Candidatus Uhrbacteria bacterium RIFCSPHIGHO2_02_FULL_60_44	872208	54.7	medium
Candidatus Uhrbacteria bacterium RIFCSPHIGHO2_12_FULL_46_13	1008437	63.86	medium
Candidatus Uhrbacteria bacterium RIFCSPHIGHO2_12_FULL_47_11	1074869	58.42	medium
Candidatus Uhrbacteria bacterium RIFCSPHIGHO2_12_FULL_47_12	1032681	69.8	medium
Candidatus Uhrbacteria bacterium RIFCSPHIGHO2_12_FULL_54_23	860014	55.45	medium
Candidatus Uhrbacteria bacterium RIFCSPHIGHO2_12_FULL_60_25	979332	63.68	medium
Candidatus Uhrbacteria bacterium RIFCSPLOWO2_01_FULL_47_24	1047645	67.35	medium
Candidatus Uhrbacteria bacterium RIFCSPLOWO2_01_FULL_47_17	1070576	69.8	medium
Candidatus Uhrbacteria bacterium RIFCSPLOWO2_01_FULL_53_9	663148	44.96	low
Candidatus Uhrbacteria bacterium RIFCSPLOWO2_01_FULL_55_36	642212	36.14	low
Candidatus Uhrbacteria bacterium RIFCSPLOWO2_02_FULL_46_19	1128740	72.28	medium
Candidatus Uhrbacteria bacterium RIFCSPLOWO2_02_FULL_46_25	1070568	64.36	medium
Candidatus Uhrbacteria bacterium RIFCSPLOWO2_02_FULL_48_12	795264	58.58	medium
Candidatus Uhrbacteria bacterium RIFCSPLOWO2_02_FULL_48_18	1074415	71.78	medium
Candidatus Uhrbacteria bacterium RIFCSPLOWO2_02_FULL_49_11	967388	58.37	medium
Candidatus Uhrbacteria bacterium RIFCSPLOWO2_02_FULL_51_9	667850	44.63	low
Candidatus Uhrbacteria bacterium RIFCSPLOWO2_02_FULL_53_10	898202	60.64	medium
Candidatus Uhrbacteria bacterium RIFCSPLOWO2_12_FULL_46_10	1069357	68.81	medium
Candidatus Uhrbacteria bacterium RIFCSPLOWO2_12_FULL_47_10	1042193	61.39	medium
Candidatus Uhrbacteria bacterium RIFCSPLOWO2_12_FULL_47_9	1005836	64.36	medium
Candidatus Uhrbacteria bacterium RIFCSPLOWO2_02_FULL_54_37	702475	44.55	low
Candidatus Uhrbacteria bacterium RIFOXYA2_FULL_41_8	702004	51.28	medium
Candidatus Uhrbacteria bacterium RIFOXYB12_FULL_58_10	1123060	71.29	medium
Candidatus Uhrbacteria bacterium RIFOXYB2_FULL_41_10	769820	62.38	medium
Candidatus Uhrbacteria bacterium RIFOXYB2_FULL_45_11	882956	56.16	medium
Candidatus Uhrbacteria bacterium RIFOXYB2_FULL_57_15	1101304	72.28	medium
Candidatus Uhrbacteria bacterium RIFOXYC12_FULL_57_11	1091692	71.29	medium
Candidatus Uhrbacteria bacterium RIFOXYC2_FULL_47_19	1036605	69.8	medium
Candidatus Wallbacteria bacterium GWC2_49_35	3669112	80	medium
Candidatus Woesebacteria bacterium GWB1_37_5	997932	61.05	medium
Candidatus Woesebacteria bacterium GWC2_33_12	852577	70.22	medium
Candidatus Woesebacteria bacterium RBG_13_36_22	1091254	46.7	low
Candidatus Woesebacteria bacterium RBG_16_34_12	967855	49.17	low
Candidatus Woesebacteria bacterium RBG_16_36_11	678860	51.16	medium
Candidatus Woesebacteria bacterium RBG_16_40_11	1098813	56.01	medium
Candidatus Woesebacteria bacterium RBG_16_41_13	1113300	65.8	medium
Candidatus Woesebacteria bacterium RBG_19FT_COMBO_42_9	1018413	48.79	low
Candidatus Woesebacteria bacterium RBG_19FT_COMBO_47_8	778876	48.75	low
Candidatus Woesebacteria bacterium RIFCSPHIGHO2_01_FULL_38_10	1022316	73.98	medium
Candidatus Woesebacteria bacterium RIFCSPHIGHO2_01_FULL_38_26b	840001	44.27	low
Candidatus Woesebacteria bacterium RIFCSPHIGHO2_01_FULL_38_9	982917	43.07	low
Candidatus Woesebacteria bacterium RIFCSPHIGHO2_01_FULL_38_9b	842582	45.97	low
Candidatus Woesebacteria bacterium RIFCSPHIGHO2_01_FULL_39_17	827260	43.73	low
Candidatus Woesebacteria bacterium RIFCSPHIGHO2_01_FULL_39_23	850044	53.14	medium
Candidatus Woesebacteria bacterium RIFCSPHIGHO2_01_FULL_39_28	1075313	50.14	medium
Candidatus Woesebacteria bacterium RIFCSPHIGHO2_01_FULL_39_32	1173957	59.08	medium
Candidatus Woesebacteria bacterium RIFCSPHIGHO2_01_FULL_40_22	1135353	56.01	medium
Candidatus Woesebacteria bacterium RIFCSPHIGHO2_01_FULL_42_80	1009818	66.38	medium
Candidatus Woesebacteria bacterium RIFCSPHIGHO2_01_FULL_41_10	772714	49.68	low
Candidatus Woesebacteria bacterium RIFCSPHIGHO2_01_FULL_44_10	809763	50.66	medium
Candidatus Woesebacteria bacterium RIFCSPHIGHO2_02_FULL_38_9	985619	46.3	low
Candidatus Woesebacteria bacterium RIFCSPHIGHO2_02_FULL_42_20	1077170	67.43	medium
Candidatus Woesebacteria bacterium RIFCSPHIGHO2_12_FULL_38_11	1159183	58	medium
Candidatus Woesebacteria bacterium RIFCSPHIGHO2_12_FULL_38_9	1047494	53.44	medium
Candidatus Woesebacteria bacterium RIFCSPHIGHO2_12_FULL_40_20	1155219	64.54	medium
Candidatus Woesebacteria bacterium RIFCSPHIGHO2_12_FULL_42_9	619231	45.71	low
Candidatus Woesebacteria bacterium RIFCSPHIGHO2_12_FULL_41_24	1074609	67.43	medium
Candidatus Woesebacteria bacterium RIFCSPLOWO2_01_FULL_37_19	1021774	44.55	low
Candidatus Woesebacteria bacterium RIFCSPLOWO2_01_FULL_38_20	1125654	51.42	medium
Candidatus Woesebacteria bacterium RIFCSPLOWO2_01_FULL_39_10	1152146	62.46	medium
Candidatus Woesebacteria bacterium RIFCSPLOWO2_01_FULL_39_14	976957	54.62	medium
Candidatus Woesebacteria bacterium RIFCSPLOWO2_01_FULL_39_21	931661	51.65	medium
Candidatus Woesebacteria bacterium RIFCSPLOWO2_01_FULL_39_23	1126128	56.01	medium
Candidatus Woesebacteria bacterium RIFCSPLOWO2_01_FULL_39_25	1251834	60.07	medium
Candidatus Woesebacteria bacterium RIFCSPLOWO2_01_FULL_42_67	1032589	66.31	medium
Candidatus Woesebacteria bacterium RIFCSPLOWO2_01_FULL_44_14	935143	54.62	medium
Candidatus Woesebacteria bacterium RIFCSPLOWO2_02_FULL_42_10	1074938	54.95	medium
Candidatus Woesebacteria bacterium RIFOXYA1_FULL_38_9	879897	45.3	low
Candidatus Woesebacteria bacterium RIFOXYA1_FULL_40_18	618855	39.38	low
Candidatus Woesebacteria bacterium RIFOXYA1_FULL_43_16	583907	47.43	low
Candidatus Woesebacteria bacterium RIFOXYB1_FULL_41_13	678478	55.36	medium
Candidatus Woesebacteria bacterium RIFOXYB1_FULL_33_9	782127	49.92	low
Candidatus Woesebacteria bacterium RIFOXYB1_FULL_38_16	964925	52.36	medium
Candidatus Woesebacteria bacterium RIFOXYB1_FULL_42_36	582301	43.61	low
Candidatus Woesebacteria bacterium RIFOXYB1_FULL_47_31	574068	45.71	low
Candidatus Woesebacteria bacterium RIFOXYC1_FULL_41_14	590644	46.25	low
Candidatus Woesebacteria bacterium RIFOXYC1_FULL_43_18	580743	42.08	low
Candidatus Woesebacteria bacterium RIFOXYC1_FULL_46_16	519185	35.41	low
Candidatus Woesebacteria bacterium RIFOXYD1_FULL_31_53	807181	73.82	medium
Candidatus Woesebacteria bacterium RIFOXYD1_FULL_33_11	774464	53.38	medium
Candidatus Woesebacteria bacterium RIFOXYD1_FULL_41_28	597322	52.39	medium
Candidatus Woesebacteria bacterium RIFOXYD1_FULL_43_18	606270	46.04	low
Candidatus Woesebacteria bacterium RIFOXYD1_FULL_46_19	596803	48.59	low
Candidatus Wolfebacteria bacterium RIFCSPHIGHO2_01_FULL_48_22	728415	75.67	medium
Candidatus Wolfebacteria bacterium RIFCSPLOWO2_01_FULL_45_19	588889	76.85	medium
Candidatus Wolfebacteria bacterium RIFCSPLOWO2_01_FULL_47_17b	729804	73.43	medium
Candidatus Wolfebacteria bacterium RIFOXYB1_FULL_54_12	824713	62.67	medium
Candidatus Wolfebacteria bacterium RIFOXYD1_FULL_48_65	814881	62.67	medium
Candidatus Wolfebacteria bacterium RIFOXYD12_FULL_48_21	878700	63.66	medium
Candidatus Wolfebacteria bacterium RIFOXYD2_FULL_48_11	848643	67.64	medium
Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_01_FULL_39_8b	707814	54.17	medium
Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_01_FULL_41_21	704475	69.25	medium
Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_01_FULL_41_26	799807	61.39	medium
Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_01_FULL_41_27	584846	53.83	medium
Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_01_FULL_41_53	1009588	59.23	medium
Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_01_FULL_42_12	756253	63	medium
Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_01_FULL_43_32	761941	61.08	medium
Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_01_FULL_43_42	901718	61.59	medium
Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_01_FULL_44_17	674209	55.74	medium
Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_01_FULL_44_24	970849	79.6	medium
Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_02_FULL_38_22b	913742	54.75	medium
Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_02_FULL_39_10	706893	57.21	medium
Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_02_FULL_41_29	1029476	59.23	medium
Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_02_FULL_43_12	751899	59.23	medium
Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_02_FULL_43_17	861746	61.59	medium
Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_02_FULL_44_12b	1029503	78.66	medium
Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_02_FULL_44_36b	567079	66.67	medium
Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_02_FULL_46_19	598235	67.37	medium
Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_12_FULL_41_9	891809	53.9	medium
Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_12_FULL_43_11	680274	58.56	medium
Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_12_FULL_44_29b	599649	52.59	medium
Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_12_FULL_45_19b	603702	52.75	medium
Candidatus Yanofskybacteria bacterium RIFCSPLOWO2_01_FULL_39_28	815413	65.65	medium
Candidatus Yanofskybacteria bacterium RIFCSPLOWO2_01_FULL_41_34	904339	62.31	medium
Candidatus Yanofskybacteria bacterium RIFCSPLOWO2_01_FULL_43_46	698125	58.3	medium
Candidatus Yanofskybacteria bacterium RIFCSPLOWO2_02_FULL_43_10	713072	59.23	medium
Candidatus Yanofskybacteria bacterium RIFCSPLOWO2_02_FULL_44_18	631294	76.15	medium
Chlamydiae bacterium RIFCSPHIGHO2_01_FULL_44_39	1569649	93.92	medium
Chlamydiae bacterium RIFCSPHIGHO2_12_FULL_44_59	1568548	93.92	medium
Chlamydiae bacterium RIFCSPHIGHO2_12_FULL_49_11	1258484	77.7	medium
Chlamydiae bacterium RIFCSPHIGHO2_12_FULL_49_9	1320587	78.31	medium
Chloroflexi bacterium GWD2_49_16	3368795	99.09	high
Chloroflexi bacterium RBG_13_46_9	1480800	39.63	low
Chloroflexi bacterium RBG_13_50_10	1736388	45.94	low
Chloroflexi bacterium RBG_13_53_26	1599959	59.08	medium
Chloroflexi bacterium RBG_13_60_9	1648046	30.65	low
Chloroflexi bacterium RBG_16_47_49	2040649	55.64	medium
Chloroflexi bacterium RBG_16_48_8	3981635	80	medium
Chloroflexi bacterium RBG_16_54_18	3822990	73.43	medium
Chloroflexi bacterium RBG_16_56_8	2168217	41.94	low
Chloroflexi bacterium RBG_16_57_11	4769172	86.36	medium
Chloroflexi bacterium RBG_16_58_8	1451382	44	low
Chloroflexi bacterium RBG_19FT_COMBO_47_15	722196	39.27	low
Chloroflexi bacterium RBG_19FT_COMBO_47_9	3230919	42.9	low
Chloroflexi bacterium RBG_19FT_COMBO_48_23	706002	61.06	medium
Chloroflexi bacterium RBG_19FT_COMBO_55_16	2529843	58.04	medium
Chromatiales bacterium RIFOXYA1_FULL_46_5	2782668	66.32	medium
Clostridiales bacterium GWD2_32_19	1974319	79.6	medium
Deltaproteobacteria bacterium GWA2_42_85	1164382	47.84	low
Deltaproteobacteria bacterium GWA2_50_8	1374535	69.04	medium
Deltaproteobacteria bacterium GWA2_54_12	2075809	65.39	medium
Deltaproteobacteria bacterium GWA2_55_82	2742638	94.84	medium
Candidatus Yanofskybacteria bacterium RIFCSPLOWO2_01_FULL_41_67	1004293	58.3	medium
Candidatus Yanofskybacteria bacterium RIFCSPLOWO2_01_FULL_42_49	807499	61.13	medium
Candidatus Yanofskybacteria bacterium RIFCSPLOWO2_01_FULL_43_22	866891	60.67	medium
Candidatus Yanofskybacteria bacterium RIFCSPLOWO2_01_FULL_44_22	977733	60.93	medium
Candidatus Yanofskybacteria bacterium RIFCSPLOWO2_01_FULL_45_72	608347	69.96	medium
Candidatus Yanofskybacteria bacterium RIFCSPLOWO2_01_FULL_49_17	613638	68.94	medium
Candidatus Yanofskybacteria bacterium RIFCSPLOWO2_01_FULL_49_25	954071	61.65	medium
Candidatus Yanofskybacteria bacterium RIFCSPLOWO2_02_FULL_41_13	1022463	60.15	medium
Candidatus Yanofskybacteria bacterium RIFCSPLOWO2_02_FULL_45_10	618553	48.86	low
Candidatus Yanofskybacteria bacterium RIFCSPLOWO2_02_FULL_45_18	627228	74.97	medium
Candidatus Yanofskybacteria bacterium RIFCSPLOWO2_12_FULL_41_8	797547	44.32	low
Candidatus Yanofskybacteria bacterium RIFCSPLOWO2_12_FULL_43_11b	767938	61.08	medium
Candidatus Yanofskybacteria bacterium RIFCSPLOWO2_12_FULL_44_13b	619996	76.15	medium
Candidatus Yanofskybacteria bacterium RIFOXYD1_FULL_42_10	715268	66.04	medium
Chlamydiae bacterium GWA2_50_15	1177368	84.46	medium
Chlamydiae bacterium GWC2_50_10	1172283	78.38	medium
Chlamydiae bacterium GWF2_49_8	1019933	67.95	medium
Chlamydiae bacterium RIFCSPHIGHO2_12_FULL_49_32	1397302	85.14	medium
Chlamydiae bacterium RIFCSPHIGHO2_02_FULL_49_29	1387015	85.81	medium
Chlamydiae bacterium RIFCSPLOWO2_01_FULL_44_52	1537590	93.92	medium
Chlamydiae bacterium RIFCSPLOWO2_02_FULL_45_22	1575869	93.92	medium
Chlamydiae bacterium RIFCSPLOWO2_02_FULL_49_12	1413529	90.32	high
Chlamydiae bacterium RIFCSPLOWO2_12_FULL_45_20	1542182	93.92	medium
Chlamydiae bacterium RIFCSPLOWO2_12_FULL_49_12	1418742	87.16	medium
Chloroflexi bacterium GWB2_49_20	3374887	99.09	high
Chloroflexi bacterium GWB2_54_36	2894515	91.82	medium
Chloroflexi bacterium GWC2_49_37	3406294	99.09	high
Chloroflexi bacterium RBG_13_46_14	1678903	51.32	medium
Chloroflexi bacterium RBG_13_48_17	874462	44.57	low
Chloroflexi bacterium RBG_13_50_21	2487961	36.82	low
Chloroflexi bacterium RBG_13_51_18	1496600	67.4	medium
Chloroflexi bacterium RBG_13_51_36	1934179	92.24	medium
Chloroflexi bacterium RBG_13_51_52	1167938	54.29	medium
Chloroflexi bacterium RBG_13_52_12	1236644	50.66	medium
Chloroflexi bacterium RBG_13_52_14	1264389	34.89	low
Chloroflexi bacterium RBG_13_54_8	1566114	54.64	medium
Chloroflexi bacterium RBG_13_54_9	1439981	43.07	low
Chloroflexi bacterium RBG_13_56_8	1870244	61.54	medium
Chloroflexi bacterium RBG_13_56_8b	794357	49.24	low
Chloroflexi bacterium RBG_13_57_8	1126229	63.25	medium
Chloroflexi bacterium RBG_13_60_13	1604083	50.26	medium
Chloroflexi bacterium RBG_16_48_7	1318877	33.63	low
Chloroflexi bacterium RBG_16_50_11	1740281	66.01	medium
Chloroflexi bacterium RBG_16_50_9	2818119	71.42	medium
Chloroflexi bacterium RBG_16_51_16	2262251	74.85	medium
Chloroflexi bacterium RBG_16_51_9	1624459	65.95	medium
Chloroflexi bacterium RBG_16_52_11	2164037	56.79	medium
Chloroflexi bacterium RBG_16_54_11	2232681	43.74	low
Chloroflexi bacterium RBG_16_56_11	2271133	69.97	medium
Chloroflexi bacterium RBG_16_57_9	1762356	39.03	low
Chloroflexi bacterium RBG_16_58_14	1503933	34.67	low
Chloroflexi bacterium RBG_16_64_43	1806597	68.89	medium
Chloroflexi bacterium RBG_19FT_COMBO_49_13	1536042	29.34	low
Chloroflexi bacterium RBG_19FT_COMBO_50_10	2297287	38.64	low
Chloroflexi bacterium RBG_19FT_COMBO_56_12	2496606	47.27	low
Chloroflexi bacterium RBG_19FT_COMBO_62_14	4012724	82.61	medium
Chloroflexi bacterium RIFOXYC12_FULL_59_14	1468333	31.92	low
Chloroflexi bacterium RIFOXYD12_FULL_57_15	2850011	42.95	low
Clostridiales bacterium GWB2_37_7	3234968	91.94	medium
Clostridiales bacterium GWC2_40_7	2441455	39.95	low
Clostridiales bacterium GWD2_32_59	2045472	79.43	medium
Clostridiales bacterium GWE2_32_10	1874891	74.9	medium
Clostridiales bacterium GWF2_38_85	2828382	90.04	medium
Coxiella sp. RIFCSPHIGHO2_12_FULL_42_15	1638237	76.74	medium
Deltaproteobacteria bacterium GWA2_38_16	1999042	90.59	high
Deltaproteobacteria bacterium GWA2_57_13	3154694	66.33	medium
Deltaproteobacteria bacterium GWB2_55_19	2625013	94.84	medium
Deltaproteobacteria bacterium GWC2_42_11	1751043	91.61	medium
Deltaproteobacteria bacterium GWC2_56_8	1955540	74.01	medium
Deltaproteobacteria bacterium GWB2_42_7	1770541	58.25	medium
Deltaproteobacteria bacterium GWD2_42_10	2404318	86.41	medium
Deltaproteobacteria bacterium GWC2_42_51	1734663	59.01	medium
Deltaproteobacteria bacterium GWF2_42_12	2441904	87.88	medium
Deltaproteobacteria bacterium RBG_13_43_22	3227972	76.75	medium
Deltaproteobacteria bacterium RBG_13_49_15	2591217	77.77	medium
Deltaproteobacteria bacterium RBG_13_51_10	1431679	21.82	low
Deltaproteobacteria bacterium RBG_13_52_11	2536257	80	medium
Deltaproteobacteria bacterium RBG_13_60_28	1554239	48.63	low
Deltaproteobacteria bacterium RBG_16_44_11	2430621	93.87	medium
Deltaproteobacteria bacterium RBG_16_50_11	1844051	47.35	low
Deltaproteobacteria bacterium RBG_16_54_18	1549187	73.01	medium
Deltaproteobacteria bacterium RBG_16_58_17	2409351	90	medium
Deltaproteobacteria bacterium RBG_19FT_COMBO_52_11	2239633	36.42	low
Deltaproteobacteria bacterium RBG_19FT_COMBO_58_16	1192119	42.81	low
Deltaproteobacteria bacterium RBG_19FT_COMBO_60_16	1095648	27.73	low
Deltaproteobacteria bacterium RIFCSPHIGHO2_02_FULL_38_15	2043746	93.11	medium
Deltaproteobacteria bacterium RIFCSPHIGHO2_02_FULL_40_11	1740682	78.56	medium
Deltaproteobacteria bacterium RIFCSPHIGHO2_02_FULL_42_44	1903522	70.62	medium
Deltaproteobacteria bacterium RIFCSPHIGHO2_02_FULL_44_16	1977829	92.16	high
Deltaproteobacteria bacterium RIFCSPHIGHO2_02_FULL_50_15	1706382	88.18	medium
Deltaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_43_9	1747573	77.06	medium
Deltaproteobacteria bacterium RIFCSPLOWO2_01_FULL_38_9	1870700	81.76	medium
Deltaproteobacteria bacterium RIFCSPLOWO2_02_FULL_47_10	1011554	45.83	low
Deltaproteobacteria bacterium RIFCSPLOWO2_02_FULL_53_8	2637408	69.51	medium
Deltaproteobacteria bacterium RIFCSPLOWO2_02_FULL_55_12	2714239	91.45	medium
Deltaproteobacteria bacterium RIFCSPLOWO2_12_FULL_38_8	1585218	77.05	medium
Deltaproteobacteria bacterium RIFCSPLOWO2_12_FULL_42_16	2214114	79.01	medium
Deltaproteobacteria bacterium RIFCSPLOWO2_12_FULL_50_11	1764685	84.82	medium
Deltaproteobacteria bacterium RIFOXYA12_FULL_58_15	6365462	87.8	medium
Deltaproteobacteria bacterium RIFOXYA2_FULL_42_10	2582685	84.01	medium
Deltaproteobacteria bacterium RIFOXYB12_FULL_58_9	6510817	87.21	medium
Deltaproteobacteria bacterium RIFOXYC2_FULL_48_10	2753654	57.4	medium
Deltaproteobacteria bacterium RIFCSPLOWO2_02_FULL_50_16	1734556	89.92	medium
Deltaproteobacteria bacterium RBG_13_47_9	3186402	39.66	low
Deltaproteobacteria bacterium RBG_13_65_10	2647353	75.25	medium
Deltaproteobacteria bacterium RBG_16_49_23	3825374	83.87	medium
Deltaproteobacteria bacterium RBG_19FT_COMBO_43_11	1992138	68.64	medium
Deltaproteobacteria bacterium RBG_19FT_COMBO_46_9	1113098	48.86	low
Deltaproteobacteria bacterium RBG_19FT_COMBO_56_10	817820	20.6	low
Deltaproteobacteria bacterium RIFCSPLOWO2_01_44_7	1607820	66.32	medium
Deltaproteobacteria bacterium RIFCSPLOWO2_01_FULL_42_9	1614986	69.25	medium
Deltaproteobacteria bacterium RIFCSPLOWO2_02_FULL_44_10	1999829	89.64	medium
Deltaproteobacteria bacterium RIFCSPLOWO2_02_FULL_44_34	2229744	87.42	medium
Deltaproteobacteria bacterium RIFCSPLOWO2_02_FULL_46_8	1272443	47	low
Deltaproteobacteria bacterium RIFOXYA12_FULL_61_11	4641089	67.86	medium
Deltaproteobacteria bacterium RIFOXYD12_FULL_55_16	2463609	90.33	medium
Deltaproteobacteria bacterium RIFOXYD12_FULL_56_24	3036381	94.28	medium
Desulfobacca sp. RBG_16_58_9	1427483	28.44	low
Desulfobacterales bacterium RIFOXYA12_FULL_46_15	4738565	97.42	medium
Desulfobacula sp. GWF2_41_7	3232233	69.26	medium
Desulfobacula sp. RIFOXYA12_FULL_46_16	1691769	61.42	medium
Desulfuromonadales bacterium GWD2_54_10	2697712	68.47	medium
Elusimicrobia bacterium GWA2_38_7	1843056	74.07	medium
Elusimicrobia bacterium GWA2_51_34	2631312	96.07	medium
Elusimicrobia bacterium GWA2_56_46	2664090	96.63	medium
Elusimicrobia bacterium GWC2_51_8	2306322	78.41	medium
Elusimicrobia bacterium GWC2_56_31	2696281	96.63	medium
Elusimicrobia bacterium GWC2_61_19	1359521	60.37	medium
Elusimicrobia bacterium GWF2_52_66	2300804	83.33	medium
Elusimicrobia bacterium RIFCSPHIGHO2_01_FULL_64_10	1528275	81.65	medium
Elusimicrobia bacterium RIFCSPLOWO2_01_FULL_54_10	1890766	75.66	medium
Elusimicrobia bacterium RIFCSPHIGHO2_02_FULL_57_9	2229389	93.82	medium
Elusimicrobia bacterium RIFCSPLOWO2_01_FULL_64_13	1650723	82.02	medium
Elusimicrobia bacterium RIFOXYA1_FULL_47_7	1730183	70.11	medium
Elusimicrobia bacterium RIFOXYA12_FULL_49_49	2281792	96.56	medium
Elusimicrobia bacterium RIFOXYA12_FULL_51_18	2751571	91.57	medium
Elusimicrobia bacterium RIFOXYA2_FULL_47_53	2413529	96.56	medium
Elusimicrobia bacterium RIFOXYA2_FULL_40_6	1929367	50.53	medium
Elusimicrobia bacterium RIFOXYA2_FULL_50_26	2011692	86.89	medium
Elusimicrobia bacterium RIFOXYA2_FULL_53_38	3091750	94.94	medium
Elusimicrobia bacterium RIFOXYB1_FULL_48_9	1841772	75.71	medium
Elusimicrobia bacterium RIFOXYB12_FULL_50_12	1946950	82.74	medium
Elusimicrobia bacterium RIFOXYB2_FULL_46_23	2398452	96.56	medium
Elusimicrobia bacterium RIFOXYB2_FULL_48_7	2198698	72.3	medium
Elusimicrobia bacterium RIFOXYB2_FULL_50_12	2162045	87.57	medium
Elusimicrobia bacterium RIFOXYC2_FULL_34_12	1896915	83.83	medium
Elusimicrobia bacterium RIFOXYD2_FULL_34_30	1798920	88.7	medium
Euryarchaeota archaeon RBG_13_57_23	1520809	83.8	medium
Euryarchaeota archaeon RBG_16_62_10	1494907	74.45	medium
Euryarchaeota archaeon RBG_16_67_27	1546722	77.47	medium
Euryarchaeota archaeon RBG_16_68_12	1762618	58.56	medium
Euryarchaeota archaeon RBG_16_68_13	1588817	71.07	medium
Euryarchaeota archaeon RBG_19FT_COMBO_56_21	1868766	92.8	medium
Euryarchaeota archaeon RBG_19FT_COMBO_69_17	2210690	96.67	medium
Firmicutes bacterium GWE2_51_13	2223560	98.74	medium
Firmicutes bacterium GWF2_51_9	2157194	95.5	medium
Fluviicola sp. RIFCSPHIGHO2_02_FULL_43_260	4540244	100	medium
Fluviicola sp. RIFCSPHIGHO2_12_FULL_43_24	4527004	100	medium
Gallionellales bacterium RIFCSPLOWO2_12_FULL_57_18	575999	26.55	low
Gammaproteobacteria bacterium GWE2_37_16	1184118	59.48	medium
Gammaproteobacteria bacterium GWE2_42_36	1370507	79.65	medium
Gammaproteobacteria bacterium GWF2_41_13	1220045	66.51	medium
Gammaproteobacteria bacterium RBG_16_37_9	1187666	74.73	medium
Gammaproteobacteria bacterium RIFCSPHIGHO2_01_FULL_42_8	1479947	70.69	medium
Gammaproteobacteria bacterium RIFCSPHIGHO2_02_FULL_42_13	1477790	81.52	medium
Gammaproteobacteria bacterium RIFCSPHIGHO2_02_FULL_42_43	1855086	94.48	medium
Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_35_23	2398516	96.51	medium
Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_37_14	2537316	88.66	medium
Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_37_34	1706887	89.93	medium
Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_41_20	2033387	94.19	medium
Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_41_25	1811150	93.31	medium
Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_42_10	1431043	84.09	medium
Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_43_28	1457137	81.44	medium
Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_45_12	1307828	63.72	medium
Gammaproteobacteria bacterium RIFCSPLOWO2_02_47_7	945778	33.21	low
Gammaproteobacteria bacterium RIFCSPLOWO2_02_FULL_42_14	1850420	92.73	medium
